항목,값
라벨,run
측정 시각,2026-09-22 13:41:51
품질 레벨,PC
해상도,1920x1080
수직 동기화,0
목표 프레임,-1
개발 빌드,True
그래픽 API,Direct3D12
GPU,NVIDIA GeForce RTX 5070 Ti
CPU,AMD Ryzen 7 5700X 8-Core Processor 
시스템 메모리 MB,49076
유니티 버전,6000.3.23f1
표본 수,24935
예열 초,5
측정 초,30

평균 FPS,831.15
중앙 FPS,862.96
평균 프레임 시간 ms,1.203
중앙 프레임 시간 ms,1.159
95퍼센타일 프레임 시간 ms,1.487
99퍼센타일 프레임 시간 ms,1.798
최소 프레임 시간 ms,1.029
최대 프레임 시간 ms,9.901

평균 드로우콜,71.2
평균 배치,71.2
평균 SetPass 호출,44.8
평균 삼각형 수,173985
평균 정점 수,121417

프레임당 GC 할당 바이트 평균,1263.5
GC 예약 메모리 최대 MB,43.73
전체 예약 메모리 최대 MB,841.16

조명 합성 패스 평균 ms,0.0169
조명 합성 패스 중앙 ms,0.0169
조명 합성 패스 최대 ms,0.0169
화면 복사 패스 ms,수집 실패 (마커 없음)
